spec_f0,spec_f1,spec_f2,spec_f3,spec_f4,y,regime,split
-0.6712536460558199,0.9969945297732917,-0.8618913443809356,-0.6692362132080298,0.5785477074196554,4.484895841615655,2,train
0.7909846085725736,0.5724794628003402,-0.2870149814016162,0.4528224437989643,-0.22702443271842176,-4.025820492571602,1,train
-0.6268324527886208,0.9703425207141054,0.6010300436749428,-0.6082421823043157,-0.3767451364764163,0.6932397619578266,2,train
-0.7513163722931709,0.9935227795107234,-0.10492823732107726,-0.7464499304926248,0.07883430261518865,4.07499311601917,1,train
0.9561035362114966,0.9252216543742183,0.5986006186033932,0.8846076955266414,0.5723241682250937,1.909320168638645,1,train
0.9871968834766894,0.9251981591801127,0.9602508363340049,0.9133527393409774,0.9479566329848141,0.17149111499550418,2,train
0.9466057420239875,0.6552875014557262,-0.46044891976577457,0.6202989115545428,-0.4358635913590246,1.363197733819751,2,train
0.6241619433125356,0.881300133489154,-0.3357518270831255,0.5500740039601876,-0.20956351286293806,1.4577777431263597,2,train
0.160837268678442,0.9932846810297143,0.7048318278213609,0.15975719511695682,0.11336322606442156,1.6302743451245703,1,train
-0.5004300397257013,0.9765897219647555,0.902123385485482,-0.48871483335853416,-0.4514496416359839,-3.988351980153996,1,train
-0.22565591973112675,0.2506999395332612,0.24140312070160208,-0.05657192543191597,-0.054474043227884156,10.539207499270526,1,train
-0.1568099834376428,0.3699113153787047,0.5171328484250928,-0.0580057872379314,-0.08109159339659988,1.5848695797247245,2,train
0.9894349542606623,0.9190628258896598,-0.5113417449119655,0.9093528850968104,-0.5059393959885378,-1.0299506926229984,1,train
0.9739899168059947,0.9631227489503076,0.35846969505233406,0.9380718461240707,0.3491458684614931,0.1338390229036195,2,train
-0.8460472341650391,0.94617295886382,-0.8618913443809357,-0.8005070148884865,0.7292007880642781,-5.987359295104371,1,train
-0.20890592427079763,0.9472257030857549,0.6827674189499879,-0.19788106099618574,-0.14263415871773408,-0.5081611938325723,1,train
0.7179255499970002,0.9890120202857665,0.9802668986639148,0.7100369986173031,0.7037586523671445,1.1700027272406324,1,train
-0.10643948267511538,0.9985974912576554,0.019859328079709082,-0.10629020037013305,-0.0021138166070797104,2.6129375592124124,1,train
0.47567055074311754,0.9996633507891427,0.35998129638415743,0.4755104166275815,0.1712325015082733,-0.15435648799620227,2,train
0.9871685141287759,0.9867265055170025,0.6988192749497991,0.9740653383026985,0.6898523852967416,-0.14541716499513693,1,train
-0.6974382552008631,0.9921842453957148,0.7944821404503888,-0.6919872489465724,-0.5541022378239663,1.4979761525667623,2,train
0.12704781738092158,0.9068794310781778,0.07472089105042845,0.11521705234613427,0.009493126120714568,2.6359366224154797,1,train
