angle_f0,angle_f1,angle_f2,angle_f3,angle_f4,angle_f5,angle_f6,angle_f7,angle_f8,angle_f9,y,regime,split
-0.05481848948920365,-0.7381797282823319,0.13902506590264685,-0.5816490601787143,0.0664184568258619,-0.10816818069484424,0.25910495152373836,-0.19692303885341694,0.5260382013162704,-0.06604794753593679,4.484895841615655,2,train
-0.030755573058913965,0.31998169558267997,-0.3986703005258012,0.46501631678103994,0.007649843241685134,-0.050917803882113255,-0.034873302703547326,-0.18746317744300645,0.1202238695892518,-0.5989635784160725,-4.025820492571602,1,train
-0.5264142347692865,-0.29185854803119554,0.173875090005369,0.03226127668612011,0.2911851695639504,-0.044333886395842126,0.0035345290686174535,-0.531452047541793,0.08159287380995472,0.047581959638278826,0.6932397619578266,2,train
-0.18975279639716647,0.39346912191836736,-0.10696313501204979,0.13979536670371984,-0.28408734862616714,0.04279035549375054,-0.013788466456558457,-0.045218214995965234,0.2721708819766895,0.004489820273757855,4.07499311601917,1,train
-0.18009053990162704,-0.17001667396981868,0.21296368725593479,-0.21384845687339743,-0.08667064739043862,-0.57483522657545,0.02415608393629448,-0.017553427073923267,0.05268349833476066,0.060196133104283484,1.909320168638645,1,train
0.1955385913654204,-0.3183215869497217,-0.4988675706215247,0.06120687477831083,-0.05124680378196633,-0.1561328191674119,-0.03671492973468665,0.1442228786829029,0.054858559416718744,-0.09071695183123596,0.17149111499550418,2,train
-0.23503075196350176,0.46107683154603946,-0.37063292303549433,0.021729526711917024,-0.1065562940370545,0.1834672334636941,0.6944239092141431,-0.29266398124252424,0.020671889761585405,0.0032043163413416065,1.363197733819751,2,train
-0.3746953415489046,0.4586970680619843,-0.1236699630827448,-0.07171627003009262,-0.2145046728425195,0.028411255977671135,-0.06584322060550973,-0.0737303940411039,-0.2243124001430113,0.09703416844547005,1.4577777431263597,2,train
0.07256661884275034,0.15536584142747267,-0.019931161762105076,-0.29756722703060917,0.05708232673933686,0.19760925821412081,0.007543421427901986,0.11600680285943318,-0.028849673460244474,-0.05095854485339413,1.6302743451245703,1,train
0.17159574494399954,-0.27021061143989145,-0.06810735548941038,-0.438307140109757,-0.08852541379340484,0.0009083477933076178,-0.3454913721462903,0.3072833201389529,-0.0947368103404404,-0.010774335221077291,-3.988351980153996,1,train
-0.4562700563296445,-0.5237808276792022,0.4649451728119949,-0.4755682854694781,0.22616242332461528,-0.31470776431675784,0.11361439528022838,-0.1779605746332748,0.3325938918703424,-0.179234596300941,10.539207499270526,1,train
-0.16595766095625897,0.14741193610680126,-0.6467771406955414,-0.46609730074801936,0.0036079425111386065,0.14239392575528176,0.3995197300695287,-0.3726107987794207,0.07097546084472173,0.3338369220130417,1.5848695797247245,2,train
0.013699618889524534,-0.010821913698611463,0.745189025238884,0.8586883410964314,0.6211062268261232,-0.02252172116161144,0.03841339454477321,0.023896522043413637,0.030847889488266236,0.6555800914451885,-1.0299506926229984,1,train
-0.07640869497482972,-0.1177358424898019,-0.1533069635876998,0.14935127088585753,0.093257868452058,-0.4916128715563965,-0.06600685005097268,0.03528299501893517,0.4274100268365535,-0.07870035209348047,0.1338390229036195,2,train
-0.04568007892721998,0.2825299897360534,-0.1731731477082895,-0.49731066266561685,-0.07616985970240042,0.3351121031515594,-0.011947950334404212,-0.08176560689048831,0.03380761829579548,0.047124967308073806,-5.987359295104371,1,train
-0.49705735624635117,0.6675713646673856,-0.5025491649315229,0.39199771672671496,-0.2994152500456957,0.14676586377509637,-0.3006119173666451,-0.34364062091998493,0.18224171350304202,-0.29866994332007724,-0.5081611938325723,1,train
-0.437550707672789,0.913391587658143,0.889244406108628,-0.4368534015576231,-0.40336251204459495,-0.3969759970646298,0.25268817998389587,0.823897942504764,-0.39054968579872457,-0.38634860458844056,1.1700027272406324,1,train
-0.07898950397711363,0.8440900851888952,0.04253599288092402,0.6995864921639172,-0.09784199581240813,-0.11923347983926683,-0.054163854019871935,0.05693762468035042,0.5878036801759017,-0.0026177876602233863,2.6129375592124124,1,train
0.08081908397469306,0.8551485779848225,-0.15221251112361683,0.0318500276579331,0.09818030543331582,0.03196023652146607,-0.16475616593455228,-0.1443828551239778,-0.02991470498285107,-0.02971945750133531,-0.15435648799620227,2,train
0.4699553454109438,0.8784029341977269,0.5157016493100862,0.3974372057511798,0.40785984012821114,0.15050226250619209,0.7005913754205616,0.4885445605915212,0.3316513102107258,0.15033392151327438,-0.14541716499513693,1,train
0.023293821961149597,-0.13909626722501744,-0.3785908805081246,0.07014215283444108,0.45595816292234675,-0.2757707852408599,-0.003592497294822472,-0.01293552640000828,0.032453220382227116,-0.10548842513097084,1.4979761525667623,2,train
