iqp_f0,iqp_f1,iqp_f2,iqp_f3,iqp_f4,iqp_f5,iqp_f6,iqp_f7,iqp_f8,iqp_f9,y,regime,split
-0.3640779971639831,0.9574056456720184,-0.3772567573653119,0.2420955299605495,-0.36020768699861316,0.4300619669328089,-0.3360737421684623,-0.3761911325702268,0.2632791394414359,-0.4659423673057569,4.484895841615655,2,train
0.12971530604275539,0.02101627903014547,0.0945437812454557,0.9636147603144308,0.08540214736994542,0.17097055335141162,0.15229806339624738,0.770762901062904,0.01640802400688401,0.08889561391387221,-4.025820492571602,1,train
0.08747627278055242,0.6140405932116996,0.1407788880749769,0.08918240107408743,0.2225939085275807,-0.31769188318921243,0.5170434146013596,0.15286493872820012,0.2246559913897044,-0.3155785773185631,0.6932397619578266,2,train
-0.4176869581472237,0.9176262805526433,-0.045707011886078786,0.09929459427416759,-0.4097553095979499,-0.05114265924740824,-0.36251144633929056,-0.02945393301124375,0.08467045196343106,0.23989010309341455,4.07499311601917,1,train
0.8977547167553669,0.7667577634377917,0.4500925718265298,0.6932503726230828,0.7268491616151164,0.4692325472841555,0.6700092936774341,0.48365159134554514,0.6320403912957169,0.483581104506629,1.909320168638645,1,train
0.9749984419524972,0.8134364769265591,0.925573502648573,0.6147657628046055,0.8019365422379362,0.9063160671756179,0.6142117474169727,0.7783043964568662,0.5964213371245889,0.6116338382220032,0.17149111499550418,2,train
0.6299460594826796,-0.029597777897117927,-0.1779546303172691,-0.04136331439044716,-0.07293245003975825,-0.2927178786327073,0.051278069595291784,0.4761933908558582,0.32798549786650666,0.18398535560379492,1.363197733819751,2,train
-0.008933839446116476,0.1208992304645134,-0.016793446881987584,0.0029795743734787883,0.40161541385456345,-0.032098764997104345,0.06368917560182313,-0.17822354682129782,-0.10734382682042917,0.16516905722776948,1.4577777431263597,2,train
-0.06933524786847672,0.9403119226875775,-0.029994320268112773,-0.04755567218546697,-0.07442151913010303,0.12218289573248445,0.7159006917024977,0.007650471484601299,-0.05936723403442132,0.229936198962674,1.6302743451245703,1,train
0.19433509861448856,0.8110232543084808,0.46390985196822987,-0.25389762915381864,0.20806081147367034,0.340990384584656,0.21891826919305685,0.4681568680362785,-0.16252631387055866,0.04649437799823758,-3.988351980153996,1,train
